Search Query,Search Volume,Click-Through Rate,Conversion Rate,Average Click Position,Results Count,Click Count,Conversion Count,Category,Quartile (Volume),Quartile (CTR),Unnamed: 11,Query Type
hunting,4276,0.0,0.0,0.0,0,0,0,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
delivery,3618,0.0002763958,0.0,1.0,0,1,0,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
skiing,5416,0.0009231905,0.0,2.0,2511,5,0,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
electric ,4769,0.0016775005,0.0,33.625,386,8,0,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
cycling,7974,0.001755706,0.0001254076,2.1428571429,6019,14,1,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
bicycle,6691,0.0025407263,0.0,2.1176470588,6288,17,0,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
decathlon,4480,0.003125,0.0,1.9285714286,722,14,0,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
boxing,17993,0.0037236703,0.0005001945,2.2798507463,738,67,9,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
cycling ,3169,0.0041022405,0.0,2.3076923077,5832,13,0,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
gymnastics,6270,0.0043062201,0.0,2.3333333333,1330,27,0,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
trail,2939,0.0044232732,0.0006805036,1.6153846154,440,13,2,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
boxing ,5282,0.0045437334,0.0005679667,2.4583333333,664,24,3,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
ski tr,2932,0.0047748977,0.0003410641,2.1428571429,424,14,1,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
rugby,7407,0.0051302822,0.0005400297,2.3421052632,1740,38,4,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
golf,21190,0.0051911279,0.0002359604,2.2227272727,3585,110,5,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
tennis,20374,0.005399038,0.000588986,1.5454545455,2503,110,12,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
horse riding,7035,0.00554371,0.0011371713,1.9871794872,2062,39,8,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
ski ,5750,0.0055652174,0.000173913,1.71875,1833,32,1,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
tri,3034,0.0056031641,0.0,5.3529411765,2754,17,0,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
bike,37517,0.0056241171,0.0003465096,2.0868878357,7179,211,13,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
ski,34495,0.0057691193,0.0006088015,1.6909547739,3496,199,21,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
darts,20949,0.005775932,0.0003341448,2.3367768595,545,121,7,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
electric,3284,0.0057856273,0.0,27.1052631579,427,19,0,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
gymnastics ,3790,0.0058047493,0.001055409,1.9545454545,1205,22,4,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
fishing,17674,0.0058277696,0.0002263211,2.0825242718,4499,103,4,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
wet,6165,0.0060016221,0.000486618,7.9189189189,812,37,3,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
ballet,7649,0.006013858,0.0007844163,2.0217391304,420,46,6,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
kids,4079,0.0063741113,0.0,2.3076923077,8684,26,0,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
tennis ,6949,0.0067635631,0.0004317168,1.7340425532,2131,47,3,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
kids ,3246,0.0073937153,0.0003080715,1.9375,8788,24,1,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
roller blades,3220,0.0074534161,0.000621118,2.5694444444,127,24,2,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
table tennis,9418,0.0075387556,0.0009556169,1.7816901408,966,71,9,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
waterproof tr,4896,0.0079656863,0.0016339869,1.8717948718,727,39,8,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
swimming,11531,0.0081519383,0.0016477322,2.0053191489,4778,94,19,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
yoga,10852,0.0082012532,0.001105787,2.1853932584,1251,89,12,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
ski go,3007,0.0083139342,0.0013302295,2.2,279,25,4,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
dum,6336,0.008364899,0.0006313131,7.1037735849,215,53,4,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
sailing,4530,0.008388521,0.0015452539,2.1842105263,988,38,7,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
horse riding ,2859,0.0083945435,0.0010493179,1.7083333333,1903,24,3,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
netball,4369,0.0084687572,0.0018310826,1.9054054054,387,37,8,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
bike ,3645,0.0090534979,0.0005486968,2.7878787879,6676,33,2,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
north face,10114,0.0090963022,0.0,15.0543478261,79,92,0,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
the north face,3052,0.0091743119,0.0,15.0714285714,81,28,0,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
foo,2606,0.0092095165,0.0007674597,2.125,7159,24,2,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
cricket,11483,0.0092310372,0.0011321083,2.0377358491,1228,106,13,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
roller skates,9062,0.0096005297,0.0016552637,1.6049285963,266,87,15,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
van,3295,0.0100151745,0.0,10.3939393939,767,33,0,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
dumb,13702,0.0110932711,0.0014596409,11.3125,208,152,20,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
hockey,4676,0.0111206159,0.001497006,1.9134615385,1054,52,7,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
climbing,6724,0.011155734,0.0022311468,2.0711111111,678,75,15,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
cricket ,2860,0.0115384615,0.0013986014,2.2424242424,1099,33,4,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
golf ,2663,0.0116410064,0.0007510327,2.2419354839,3368,31,2,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
volleyball,4165,0.0117647059,0.0014405762,2.0,739,49,6,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
surf,3432,0.0128205128,0.0011655012,2.0340909091,3317,44,4,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
van rysel,11190,0.0133154602,0.0022341376,26.0838926174,441,149,25,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
tread,7282,0.0133205163,0.0013732491,3.6340206186,134,97,10,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
fishing ,5450,0.0135779817,0.0011009174,2.1621621622,4374,74,6,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
gym,7758,0.0136633153,0.0007733952,1.8066037736,2641,106,6,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
tent ,4026,0.0141579732,0.000496771,2.350877193,778,57,2,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
foot,4113,0.014587892,0.0017019207,2.0166666667,7048,60,7,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
tent,88444,0.015919678,0.0016507621,2.0389796402,803,1408,146,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
sup,13020,0.0160522273,0.0022273425,1.5909090909,902,209,29,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
rash,5228,0.0164498852,0.0005738332,44.6723421927,341,86,3,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
squash,4165,0.0172869148,0.0026410564,1.4861111111,762,72,11,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
well,4480,0.0174107143,0.0024553571,2.2884615385,539,78,11,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
